City Code,"City, State",Type of Alert,Other Codes,Address,Alert Description,Random Code,Date,Time of day
ILL," Peoria, Illinois", Major Accident,, Sherwood & War Memorial Ave," Delayed: PFD o/s of a rollover accident with entrapment, unk airbag deployment, PD responding", ILL091,2019-04-24, 12:06
WDC," Washington, Washington DC", Brush Fire,, Key Bridge, DCFEMS Engines 1 & 29 and two fireboats o/s brush fire in woods along Potomac Rvr i/a/o Key Bridge, MAR137,2019-04-24, 13:01
GEO," Portal, Georgia", Major Accident,, Metter Rd & Banks Dairy Rd," U/D: 9923 Now advising to cancel the Rescue, possible fatal", GEO073,2019-04-24, 13:01
GEO," Portal, Georgia", Major Accident,, Metter Rd & Banks Dairy Rd," EMS o/s of an MVA w/confirmed entrapment, Requesting Rescue & addl FD", GEO073,2019-04-24, 12:57
HWI," Kalihi, Hawaii", Hazmat,, 1816 Kaumualii St., BC_1 o/s propane release. Neighborhood evacuated. No inj. Utility responding., HWI016,2019-04-24, 06:47
MNE," Milford, Maine", Technical Rescue, 153.740, Greenfield Rd, Car Into Water Possible Subject Inside [MNE039], MNE044,2019-04-24, 12:41
FLA," Fort Lauderdale, Florida", Technical Rescue, FLFR Tac B, 100 NW 62 St," BC13 in command, person stuck in an elevator shaft, 30 feet from access point. Req two TRT teams. M/A:Broward County [FLA050]", FLA005,2019-04-24, 12:38
HWI," Hawaii Kai, Hawaii", Technical Rescue,, 6506 Kalanianaole Hwy., BC_2/USCG o/s boat that ran aground. 1 boater aboard. Unk inj., HWI016,2019-04-24, 06:33
FLA," Ponce De Leon, Florida", Major Accident,, US 90 & Morrow Rd, FHP o/s on a fatal vehicle crash w/ road blocked., FLA318,2019-04-24, 12:30
MAR," Thurmont, Maryland", Brush Fire, 9 Charlie, Sabillasville Rd & Old Camp Airy Rd," Brush 105 o/s large brush fire i/a/o Camp Airy & Owens Creek, requesting Brush Task Force response", MAR137,2019-04-24, 12:25
NYC," Manhattan, New York", 2 Alarm Fire, 482.10625, 6 E 32nd St," Box 0696: Div 1 req 2nd alarm for a large explosion at a manhole fire, 1 Con Ed worker injured.", NYC249,2019-04-24, 12:20
WDC," Washington, Washington DC", Perp Search/Chase,, 3500 Hayes St NE," MPD searching for 3 juvenile males, bushy hair, LSW black jackets. Involved in a robbery.", WDC023,2019-04-24, 12:18
ASA," ASA Region Wx, Texas", Thunder Storm Warning, Severe Thunderstorm Warning for Kerrville. Heavy downpours elsewhere in our area., ASA029, 11:13,2019-04-24,,
FLA," Melbourne, Florida", Perp Search/Chase, 800 trk patch, Wickham Rd & Wright Ave, U/D: suspect in custody after contact with police K-9 M/A:Brevard County, FLA209,2019-04-24, 12:08
FLA," Pompano Beach, Florida", Trauma Alert, BSOFR Disp 5, 1290 N Federal Hwy," Stations 11 & 24 arrival, patient fell, precautionary trauma alert by ground. [FLA050]", FLA005,2019-04-24, 12:07
NYK," Riverhead, New York", Major Accident,, 1093 Pulaski St, FD reports veh vs pedestrian - helo inbound, NYK100,2019-04-24, 11:59
FLA," Lockhart, Florida", 1 Alarm Fire, FD8, 5318 Hondo Way, R40 reports fire showing from a 1200 sq/ft residence, FLA057,2019-04-24, 11:55
DEL," Georgetown, Delaware", Shooting/Stabbing,, 21306 Legal Dr, PD reports victim shot in foot - searching area for suspect, DEL018,2019-04-24, 11:53
FLA," Melbourne, Florida", Perp Search/Chase, 800 trk patch, Wickham Rd & Wright Ave," MPD Officers,K-9,BCSO Star helo searching wooded area for BMA handcuffed in front M/A:Brevard County", FLA209,2019-04-24, 11:49
CAL," Oxnard, California", Technical Rescue,, 600 E Harbor Blvd, VCFD O/S of a water rescue. One swimmer in the water making contact with the victim., MOU000,2019-04-24, 08:43
PEN," Nanticoke, Pennsylvania", SWAT/ERT,, 200 W Green St, PD reports barricaded subject - unk wants, PEN080,2019-04-24, 11:43
ENG," London, UK - United Kingdom", Make Pumps >8 Fire,," Jenkins Ln, East Ham"," U/D: Now a 10 pump fire, Aerials 1, fire in a refuse transfer station.", ENG299,2019-04-24, 16:40
FLA," Hialeah, Florida", Special, HPD 2, 251 E 47th St, Hialeah High School on lock down School Board PD o/s investigating further., FLA149,2019-04-24, 11:31
FLA," Homestead, Florida", Trauma Alert,, 2072 NE 8th St," U/D: R-5 o/s 18 month old w/serious burns, trauma alert by Air Rescue.", BCC022,2019-04-24, 11:30
FLA," Homestead, Florida", Trauma Alert, MDFR Tac 5, 2072 Ne 8th St," Station 5 arrival, patient injured, pediatric trauma alert by Air Rescue South. Unknown MOI. [FLA111]", FLA005,2019-04-24, 11:26
NYC," Manhattan, New York", 1 Alarm Fire All Hands, 482.10625, 6 E 32nd St," Box 0696: BC-7 rpts AHW an explosion, req EMS for a Con Ed injury. All firefighters accounted for.", NYC249,2019-04-24, 11:10
ARI," Bapchule, Arizona", Violent Crime,, 3455 Casa Blanca Rd, GRPD behind a vehicle involved in shooting out some windows at a school while in session., ARI666,2019-04-24, 09:08
FLA," Deerfield Beach, Florida", Brush Fire, BSOFR Tac 1, 4050 N Dixie Hwy," BC102 I/C, 1.5 acre brush fire in a 34 acre field. Difficult access, req Forestry. Canteen enroute.", FLA005,2019-04-24, 11:06
NYC," Manhattan, New York", 1 Alarm Fire (10-75), 482.10625, 6 E 32nd St, Box 0696: BC-7 o/s rptg an explosion with firefighters injured., NYC249,2019-04-24, 11:05
ENG," London, UK - United Kingdom", Make Pumps >4 Fire,," Jenkins Ln, East Ham", 6 Pump Fire In A Refuse Transfer Station, ENG299,2019-04-24, 16:02
CON," East Windsor, Connecticut", Major Accident,, 302 North Rd., FD o/s pedestrian struck by a motor vehicle- Serious injury requesting medics., CON196,2019-04-24, 10:57
GEO," Brunswick, Georgia", Major Accident,, Scranton Connector Rd," Sq1 o/s of an MVA calling for a helicopter for open head injury, LZ at 95 Toyota", GEO106,2019-04-24, 10:53
FLA," Clearwater, Florida", 1 Alarm Fire,, 1059 N Hercules Ave, D48 reports smoke showing from a clothing store in a 1 stry strip mall - req working fire, FLA057,2019-04-24, 10:52
ARI," Phoenix, Arizona", Major Accident, K10 1611, 7th St & Orangewood Ave," E7 o/s 2 vehicle crash, heavy damage, 2 pts, serious injuries, both out. R7 & R17 enrt to transport.", ARI666,2019-04-24, 08:50
NYK," Newburgh, New York", Hazmat,, 29 Lutheran St," FD o/s, gas line Struck by a contractor, active leak, gas company to the scene", NYK195,2019-04-24, 10:50
PEN," Cambria Twp, Pennsylvania", Suspicious Device,, Winterset at Grata Roads, PD requesting EOD for suspicious device FD handling traffic, PEN242,2019-04-24, 10:49
NYC," Brooklyn, New York", Hazmat,, Beadel St & Vandervoort Ave, FD & gas co on scene of unk size gas main break, NYC071,2019-04-24, 10:46
NYC," Brooklyn, New York", Major Accident,, 64th St & 7th Ave, EMS reports veh vs pedestrian w/ serious injs, NYC071,2019-04-24, 10:45
FLA," Coral Springs, Florida", Trauma Alert, FD Dispatch, 748 Riverside Dr," R43 o/s 2 y/o fell & struck head, trauma alert going by ground.", FLA125,2019-04-24, 10:37
ALB," Calgary, Alberta - Canada", 1 Alarm Fire,, 3415 Ogden Rd Se, FD reports large fire in a scrapyard, ALB004,2019-04-24, 08:24
LAX," Santa Clarita, California", 2 Alarm Fire, Blue 12, 25853 McBean Pkwy," BC6 is McBean IC for fire on the 2nd floor of a 3 story apt bldg, 2nd alarm", LAX138,2019-04-24, 07:23
ALB," Calgary, Alberta - Canada", 1 Alarm Fire,, 6300 Travois Crescent NW," Delayed, FD reports early morning fire in a detached garage", ALB004,2019-04-24, 08:22
TEN," Nashville, Tennesse", 1 Alarm Fire, TOC B6, 2802 Hody Dr, Eng 14 o/s 2 Story House with Heavy Smoke Showing. W/F making interior attack., TEN035,2019-04-24, 09:16
FLA," Putnam County, Florida", Search & Rescue,, 4065 Browns Landing Rd," PCFD & PCSO o/s of a reported aircraft down, searching near Browns Landing Boat camp", FLA432,2019-04-24, 10:15
NYK," Elmont, New York", SWAT/ERT,, 1655 Dutch Broadway," Violent & suicidal prisoner in the NCPD 5th Precinct, request for ESU to respond - 2420 enroute", NYC066,2019-04-24, 10:11
FLA," Bellair, Florida", Major Accident, 859.4375-TG:300, 2300 Kingsley Ave, E18 R19 o/s Injury Crash Issuing Trauma Alert: Numbness & Tingling, FLA077,2019-04-24, 10:10
NYK," Jamesport, New York", 1 Alarm Fire,, 1636 Main Rd," FD o/s of a shed fire, requesting the Working Fire, 1 LSO, mutual aid notified", NYC066,2019-04-24, 10:06
MIN," Hugo, Minnesota", 2 Alarm Fire,, 5600 141st St N," Overnight, fire in a single family home, total loss. 1 firefighter injury, M/A from White Bear Lake", MIN034,2019-04-24, 09:05
MIN," Maple Grove, Minnesota", Brush Fire,, I-94 and Maple Grove Pkwy," Fire o/s of multiple brush fires in the area, two stations paged out. Traffic delays up to 2 miles", MIN034,2019-04-24, 09:03
LAX," Santa Clarita, California", 1 Alarm Fire, Blue 12, 25853 McBean Pkwy," E124 o/s smoke showing from 2nd floor of a 3 story apt bldg, BC6 has CMD, attic fire", LAX138,2019-04-24, 07:02
CON," Hartford, Connecticut", Shooting/Stabbing,, 800 Albany Ave," Delayed, HPD investigating early morning shooting w/ fatality", CON048,2019-04-24, 09:57
ARI," Phoenix, Arizona", Major Accident, K9 1612, I-17 & W Indian School Rd Sb So," Units onscene of a crash involving a MC, 1 pt, serious injuries. R18 enrt St Joes Trauma.", ARI666,2019-04-24, 07:52
FLA," Oakland Park, Florida", Violent Crime, D7, 3201 Nw 32nd Ct," BSO o/s adult male found deceased, suspicious scene, req homicide.", FLA125,2019-04-24, 09:50
VIR," Bedford, Virginia", Major Accident,, 5477 Forest Rd," Delayed E1 o/s of a tractor trailer vs hay tractor, 1 unresponsive", VIR125,2019-04-23, 17:13
SFO," San Jose, California", 1 Alarm Fire,, 2100 Moorpark Ave," 2 Story Educational Facility, Smoke Showing Inside. Working Fire Called", SFO038,2019-04-23, 14:03
FLA," Jupiter, Florida", Hazmat, 7A, 9001 Sandy Run Rd, BC19 I/C w/ an unknown quantity of chemicals spilled in to a water well. Hazmat o/s., FLA125,2019-04-23, 17:03
SCA," Columbia, South Carolina", 1 Alarm Fire,, 7425 Fairfield Rd, Delayed - Heavy fire in a metal recycling center. Mult master streams in operation., SCA017,2019-04-23, 17:00
PEN," Philadelphia, Pennsylvania", Shooting/Stabbing,, W Luzerne St & N Reese St.," PPD o/s rptg a male shot in the leg. Looking for 3 suspects, no description.", PEN035,2019-04-23, 16:54
LOU," Dixie inn, Louisiana", Major Accident,, 3036 Hwy 528, Fd on scene 2 vehicle head on crash with entrapment serious injuries, LOU014,2019-04-23, 15:48
WDC," Washington, Washington DC", Shooting/Stabbing,, 1900 Bladensburg Rd NE," MPD o/s rptg a confirmed stabbing. B/F suspect, light complexion, 25-30 y/o, 140 lbs, blonde hair.", WDC023,2019-04-23, 16:47
MAR," Bel Air, Maryland", Major Accident,, Wheel Rd & Patterson Mill Rd, PD & FD o/s of a 4 vehicle MVC with 1 patient trapped., MAR055,2019-04-23, 16:45
SFO," San Francisco, California", Major Accident,, 100 7th St, Delayed - SFPD rptd a T/C involving a skateboarder fatally struck by a truck. Active investigation., SFO039,2019-04-23, 13:44
MAS," Boston, Massachusetts", Violent Crime, 460.500, Dudley St & Warren St," Delayed, units located Trauma X victim, BEMS to BMC, Detectives investigating.", MAS198,2019-04-23, 16:43
FLA," Belleview, Florida", Major Accident,, 13055 SE 100 Ave, MCFR Sta 18 & 30 o/s investigating mvc w/entrapment extrication in progress, FLA074,2019-04-23, 16:42
IND," Elkhart, Indiana", Major Accident, FD 800/Tac 1, County Road 10 & John Weaver Pkwy, E4 o/s of a multi vehicle crash w/entrapment ; Req 3 ambulances, IND042,2019-04-23, 16:33
NYC," Queens, New York", SWAT/ERT,, 432 Beach 64th St, PD o/s rptg a barricaded subject in an apartment. Req ESU for entry., NYC249,2019-04-23, 16:28
ILL," Dixon, Illinois", 2 Alarm Fire,, 597 Penrose Rd," FD o/s rptg fire in a commercial bldg, req 2nd alarm for tenders.", ILL085,2019-04-23, 15:27
LAX," Florance-Graham, California", Technical Rescue,, S Alameda St & E Florence Ave," U/D: LASD & HPPD units in negotiations with EDP, rescue air cushion deployed", LAX032,2019-04-23, 13:23
FLA," Doral, Florida", Trauma Alert, Central Disp, 2330 NW 82nd Ave, R48 o/s Issuing Trauma Alert Following Unspecified Mechanism Injury [FLA005], FLA077,2019-04-23, 16:22
FLA," Tamarac, Florida", Violent Crime, Dispatch 8, 6040 Shakerwood Cir," BSO o/s Shots Fired, No Injuries Reported, Units Circulating, EMS Staging [FLA005]", FLA077,2019-04-23, 16:20
MOU," Southwest MO Wx, Missouri", Thunder Storm Warning,," NWS Springfield, Mo", NWS issued for Central Wright County until 330pm CDT. Located near Hartville., ARI666,2019-04-23, 15:20
FLA," Hollywood, Florida", Violent Crime,, 2310 N 70th Terrace, HPD o/s Sheridan Park Elem School Locked Down Following Threat of Shooting. Large PD Presence [FLA005], FLA077,2019-04-23, 16:19
FLA," Hollywood, Florida", Violent Crime, Dispatch 20/A2, 2751 N 70th Terrace, HPD o/s Driftwood Middle School Locked Down Following Threat of Shooting. Large PD Presence [FLA005], FLA077,2019-04-23, 16:17
HWI," Makakilo, Hawaii", 2 Alarm Fire,, 92-1210 Palahia St., BC_4 o/s two story structure. Dark smoke from 1st floor. No inj., HWI016,2019-04-23, 10:15
CAL," Sacramento, California", 1 Alarm Fire,, 110 Stanford Ave, FD o/s reporting working fire from the C side of a dwelling, CAL159,2019-04-23, 13:14
FLA," Miramar, Florida", Shooting/Stabbing,, 6877 SW 22nd St," Delayed: PD o/s Person Shot in Chest by Another Person Accidentally, Transported by Private Auto [FLA005]", FLA077,2019-04-23, 16:07
MAS," Boston, Massachusetts", Shooting/Stabbing,, 144 Dudley St," U/D: victim from yesterdays stabbing has succumbed at BMC, ongoing investigation.", MAS198,2019-04-23, 16:06
VMT," West Haven, Vermont", Major Accident,, Route-22A & Main Rd, Svcs o/s MVA involving a Motorcycle w/CPR, VMT003,2019-04-23, 16:05
NYC," Bronx, New York", Hazmat, SOD, 2374 University Ave, PD o/s rptg a confirmed found grenade. ESU o/s. Level 1 Mobilization called in regards., NYC249,2019-04-23, 16:03
VIR," Norfolk, Virginia", Major Accident,, Granby Street & W. Gilpin Avenue," NPD investigating MVC, victim to SNGH w/serious injuries. Granby St N/B & S/B lanes are closed.", MAR137,2019-04-23, 16:02
FLA," Goldenrod, Florida", 1 Alarm Fire,, 5500 Garden Grove Cir, SCFR reports residential structure fire now knocked down M/A:Seminole County, FLA057,2019-04-23, 15:57
MAS," Boston, Massachusetts", Perp Search/Chase, 460.500, 82 Newbury St," BPD looking for 2 WFAs stole $3000 in merchandise from Victorias Secret, fled towards Boston Common", MAS198,2019-04-23, 15:54
ARI," Scottsdale, Arizona", Major Accident, K7 1614, N 124th St & E Shea Bl," BC602 onscene of a crash, 2 pts, 1 Trauma Code, 1 Delayed pt. 2nd amb enroute.", ARI666,2019-04-23, 13:52
NCA," Union Grove, North Carolina", 2 Alarm Fire,, 409 Trumpet Branch Rd," Large 2 story heavy timber log home, fire throughout. Going Defensive. Multiple M/A. [CFP]", ARI666,2019-04-23, 15:49
NYC," Queens, New York", Perp Search/Chase,, Rockaway Blvd & Baisley Blvd.," PD rptg a foot pursuit of 2 perps, unknown wants. Now rptg perps are in custody.", NYC249,2019-04-23, 15:41
WVA," Sissonville, West Virginia", Major Accident, 155.145, 3951 Sissonville Dr," Units o/s 2 vehicle head on crash, 1 pt trapped in each vehicle, both with serious injuries, by grnd [WVA001]", ARI666,2019-04-23, 15:39
MAR," Brooklyn Park, Maryland", Working Fire,, 201 Walton Avenue," Box 31-04: AACoFD o/s fire in a1.5 story single family house, marked as Working Incident", MAR137,2019-04-23, 15:38
WAS," Arlington, Washington", Bomb Threat,, 4010 172nd Street NE, APD investigating a threat made to a Walmart., WAS001,2019-04-23, 12:38
ILL," Round Lake, Illinois", Working Fire,, 126 N Channel Dr, FD o/s working fire in a dwelling, ILL089,2019-04-23, 14:35
MAR," Waldorf, Maryland", Major Accident,, 15149 Poplar Hill Road," FD o/s MVC with rollover and entrapment, MSP Trooper 2 e/r for medevac", MAR137,2019-04-23, 15:34
MAR," Brooklyn Park, Maryland", 1 Alarm Fire,, 201 Walton Avenue," Box 31-04: AACoFD o/s smoke showing from 1.5 story single family house, 1 line working", MAR137,2019-04-23, 15:32
FLA," Jacksonville, Florida", Major Accident, A-3 TG-1089, McDuff Ave S & Post St," R10 o/s Auto vs Power Pole Issuing Trauma Alert: Paramedic Discretion, Power Line Down", FLA077,2019-04-23, 15:26
PEN," Pittsburgh, Pennsylvania", 1 Alarm Fire,, 1315 Woods Run Ave," 35Engine o/s fire on the roof of a 3 story dwelling, stretching a line, 3rd eng lay a line", PEN146,2019-04-23, 15:26
NCA," Lincolnton, North Carolina", Major Accident,, Startown Rd & Eva Ct," Units are o/s of an MVA w/ heavy damage, command reporting 1 fatality, road closed", FLA146,2019-04-23, 15:24
FLA," Rockledge, Florida", Major Accident,, Brightman St & S Fiske Blvd, FD o/s of a pedestrian hit by vehicle calling trauma alert, FLA109,2019-04-23, 15:21
NCA," Union Grove, North Carolina", 1 Alarm Fire, Tac 1, 409 Trumpet Branch Rd, U/D: CMD ordering firefighters out due to fire in the basement, NCA099,2019-04-23, 15:04
WAS," Spokane Valley, Washington", Amber Alert,, .," Ethan Robertson, 5 yrs wht male 30lb taken by Justin Robertson in 2014 red Subaru Legacy WA APN2450", WAS011,2019-04-23, 12:03
BCC," Langford, British Columbia - Canada", Violent Crime, Disp 1, 3431 Happy Valley Rd, U/D: RCMP were in pursuit of Green Caddilac which has now crashed at VMP & Kelly. Firearm located., BCC018,2019-04-23, 12:00
BCC," Salt Spring Island, British Columbia - Canada", 1 Alarm Fire, Ops 1, 364 Blackburn Rd, CMD o/s heavy fire showing from a 1 story house. Going defensive. Req 2nd page for manpower., BCC018,2019-04-23, 11:57
VIR," Lodi, Virginia", Major Accident,, 35000 Bucks Bridge Rd," Services o/s rptg a R/O MVA, vehicle is on fire with occupants trapped.", VIR123,2019-04-23, 14:53
NCA," Union Grove, North Carolina", 1 Alarm Fire, Tac 1, Eupeptic Springs Rd & Trumpet Brnch," U/D: Updated address 409 Trumpet Branch, fire extending to 2nd level of structure", NCA099,2019-04-23, 14:45
BCC," Langford, British Columbia - Canada", Violent Crime, Disp 1, 3431 Happy Valley Rd, RCMP o/s shots fired inside Happy Valley Store. Two vehicles have fled the scene. K9 & ERT enroute, BCC018,2019-04-23, 11:41
NCA," Union Grove, North Carolina", 1 Alarm Fire, Tac 1, Eupeptic Springs Rd & Trumpet Brnch," FD o/s working structure fire, req supply line ASAP", NCA099,2019-04-23, 14:38
MAR," Baltimore, Maryland", Perp Search/Chase,, 700 E Pratt St," BPD searching for a suspect wanted for a robbery, possibly fled to nearby subway.", MAR055,2019-04-23, 14:31
LAX," Florance-Graham, California", Technical Rescue,, S Alameda St & E Florence Ave," LACoFD E16 o/s rptg a jumper up over the railroad tracks, all trains stopped. USAR TF-103 en route.", LAX032,2019-04-23, 11:27
MAS," Cambridge, Massachusetts", Perp Search/Chase,, 2615 Massachusetts Ave, PD looking for Hisp Male 50s that punched a woman in the face & Fled. Susp may have a knife., MAS378,2019-04-23, 14:15
MAR," Cumberland, Maryland", Working Fire,, 11216 Brown Hill Road," Bowmans Addition VFD o/s heavy fire showing from a single family house, working fire", MAR137,2019-04-23, 14:03
IND," Mishawaka, Indiana", Shooting/Stabbing,, 1440 Burnham Ave, E4 o/s of a male shot in the face; ink perp info, IND042,2019-04-23, 13:49
MAR," Woodlawn, Maryland", Shooting/Stabbing,, Kernan Drive & Dogwood Road," BCoPD searching for shooting susp, adult male w/GSW to upper body, EMS transported. Active scene.", MAR137,2019-04-23, 13:47
ILL," Johnsburg, Illinois", Major Accident,, N Johnsburg Rd & Wilmot Rd, FD o/s of an MVA w/patient in traumatic arrest, ILL089,2019-04-23, 12:45
MAR," Harwood, Maryland", Shooting/Stabbing,, 135 Polling House Road," U/D: Medevac helo canceled, person pronounced deceased, poss self-inflicted. Active AACoPD scene.", MAR137,2019-04-23, 13:44
NYC," Queens, New York", Airport Alert,, Jfk Airport, Jfk Tower/n90 Tracon Qadvising Runway 31l Closed For Edv5243 Unknown Type Emergency [MAR101], MNE044,2019-04-23, 13:41
MAR," Harwood, Maryland", Shooting/Stabbing,, 135 Polling House Road," Box 9-4: AACoPD & FD o/s person w/GSW, MSP Trooper 2 e/r for medevac, LZ @ Southern HS", MAR137,2019-04-23, 13:37
FLA," Merritt Island, Florida", Hazmat,, 650 E Merritt Island Causeway," FD o/s of a refrigerant leak in a comm bldg, Hazmat requested", FLA109,2019-04-23, 13:34
DFW," Dallas, Texas", 1 Alarm Fire, 453.875, 3503 Wilhurt Ave, ENG38 out 1 story brick frame residence fire showing., DFW248,2019-04-23, 12:31
IND," Michigan City, Indiana", Still Alarm Fire,, 7008 W. Us 20, FD/EMS have a working fire in a mobile home; fire showing, ILL047,2019-04-23, 13:23
FLA," Kendale Lakes, Florida", Trauma Alert,, 14000 Sw 88th St," MDFR R-57 o/s fall victim, trauma alert by ground to Kendall Regional.", BCC022,2019-04-23, 13:21
FLA," Lauderhill, Florida", Armed Robbery, BSO Disp 6, 2021 NW 43 Terr," LPD arrival, male displayed a gun, robbed victim of jewelry, fled in a vehicle.", FLA005,2019-04-23, 13:05
FLA," Kathleen, Florida", Major Accident, Tac 4, Galloway Rd N & 10th St W," Units o/s 2 veh MVC, Medic 31 trauma alert by ground", FLA116,2019-04-23, 13:04
FLA," Lauderhill, Florida", Armed Robbery, BSO Disp 6, 4300 N University Dr," LPD arrival, light skinned black male robbed victim, weapon implied, fled with proceeds.", FLA005,2019-04-23, 13:01
FLA," Fort Lauderdale, Florida", Special, 10B, 1943 Ne 6th Ct," FLFR Emergency Management advising an assisted living facility without water, requesting Canteen 26.", FLA125,2019-04-23, 13:00
NCA," Raleigh, North Carolina", 2 Alarm Fire,, 4700 North New Hope Rd," Working fire in an occupied multiple dwelling, mutual aid responding, 2nd alarm.", NCA019,2019-04-23, 12:56
MAR," White Marsh, Maryland", Hazmat, East, 11003 Philadelphia Road," Box 20-14: WMVFC & BGE o/s active gas leak, contractor struck a gas line", MAR137,2019-04-23, 12:55
FLA," Lauderhill, Florida", Violent Crime, BSO Disp 6, 5313 NW 22 St," LPD arrival, father took one year old child from mother, gun implied, fled in a black Volkswagon.", FLA005,2019-04-23, 12:54
NEV," Paradise, Nevada", Major Accident, CCFD B6, 2989 Paradise Road, Veh vs Ped male patient face down in the gravel unconscious barely breathing hit at high speed, NEV022,2019-04-23, 09:45
FLA," Fort Lauderdale, Florida", Perp Search/Chase,, 3466 Capri Dr, 2 BMA fled on bicycles wanted for a residential burglary - 2 in custody checking residence, FLA063,2019-04-23, 12:44
NJS," Pilesgrove, New Jersey", Major Accident,, US 40 & Glassboro Rd, U/D: Medevac requested for one patient transport., NJS051,2019-04-23, 12:43
NJS," Pilesgrove, New Jersey", Major Accident,, Us 40 & Glassboro Rd, Two vehicle MVC S/B w/ one patient trapped. Jaws working., NJS051,2019-04-23, 12:37
NYC," Queens, New York", 1 Alarm Fire All Hands, 482.01325, 90-15 170th St," Box 4810: BC-50 rpts AHW fire on flr #2 of a 2-stry 20x50 private dwelling, L-125 FAST, DWH", NYC249,2019-04-23, 12:34
